"Haul","CL","nA","sfA","nB","sfB","qA","qB"
"D4H2",8,0,14.4676758207574,1,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",9,1,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",10,5,14.4676758207574,3,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",11,12,14.4676758207574,15,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",12,23,14.4676758207574,25,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",13,52,14.4676758207574,54,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",14,70,14.4676758207574,77,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",15,50,14.4676758207574,81,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",16,29,14.4676758207574,41,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",17,19,14.4676758207574,32,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",18,16,14.4676758207574,12,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",19,4,14.4676758207574,5,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",20,0,14.4676758207574,3,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",21,1,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",22,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",23,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",24,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",25,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H6",5,0,17.2690093823091,0,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",6,0,17.2690093823091,1,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",7,1,17.2690093823091,1,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",8,3,17.2690093823091,4,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",9,4,17.2690093823091,1,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",10,11,17.2690093823091,5,12.4634525733734,0.0579072011521651,0.0802345894215841
"D4H6",11,25,17.2690093823091,18,12.4634525733734,0.0579072011521651,0.0802345894215841
